,name,song_ids,duration_ms,url,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
72,怪物,2vjY3jGKElvqXoaGNEuYef,205480,https://open.spotify.com/track/2vjY3jGKElvqXoaGNEuYef,0.598,0.847,1,-2.54,0.205,0.0655,9.92e-05,0.307,0.728,169.959
73,PRIMADONA,2mM2XCzLaXtiKbqfFqtZOh,114200,https://open.spotify.com/track/2mM2XCzLaXtiKbqfFqtZOh,0.819,0.699,8,-7.291,0.0469,0.0144,0.0,0.375,0.478,96.049
74,nerve,6P8zr1ghnd78EPhUO8axDm,175072,https://open.spotify.com/track/6P8zr1ghnd78EPhUO8axDm,0.707,0.626,10,-8.112,0.0439,0.137,0.0,0.17,0.708,146.008
75,go if you want to,4aDSp2TuP7OSPvN9wrwcs5,165967,https://open.spotify.com/track/4aDSp2TuP7OSPvN9wrwcs5,0.685,0.57,7,-7.95,0.0752,0.13,0.0,0.431,0.569,92.987
76,Drifting,5cSg8SdClubjZ32WrKwzAW,162711,https://open.spotify.com/track/5cSg8SdClubjZ32WrKwzAW,0.731,0.803,8,-7.23,0.0506,0.249,0.0,0.0902,0.452,94.519
77,I Literally Never Think About You,2HMxow43AQQGcsMoi0YEcq,175590,https://open.spotify.com/track/2HMxow43AQQGcsMoi0YEcq,0.847,0.582,6,-8.943,0.057,0.0426,5.41e-05,0.0618,0.493,124.96
78,Satin Black,1vb2AwKBvNylZcKVSyAidh,137740,https://open.spotify.com/track/1vb2AwKBvNylZcKVSyAidh,0.773,0.682,1,-6.329,0.054,0.047,0.00317,0.11,0.81,150.974
79,obvious (feat. Travis Barker),230lpiiOSSrkKBlthBeJfk,137413,https://open.spotify.com/track/230lpiiOSSrkKBlthBeJfk,0.629,0.726,6,-5.605,0.0396,0.00159,0.0,0.293,0.379,112.096
80,Less Than Zero,2D4dV2KXDTszzJ3p3cFqhA,211814,https://open.spotify.com/track/2D4dV2KXDTszzJ3p3cFqhA,0.535,0.791,0,-5.55,0.0327,0.00096,0.000155,0.0788,0.5,142.981
81,Sunroof (feat. 24kGoldn),0u0eGWwyJmOVoG6ld4uNm0,162534,https://open.spotify.com/track/0u0eGWwyJmOVoG6ld4uNm0,0.77,0.686,10,-6.568,0.046,0.324,0.0,0.185,0.89,131.478
82,Love Or Lust,05EjphKqE2EJVMy0iORf1l,176373,https://open.spotify.com/track/05EjphKqE2EJVMy0iORf1l,0.718,0.651,8,-3.594,0.13,0.112,0.0,0.101,0.723,144.042
83,Underglow,58CqoBEbMp4gONUSefHfji,113841,https://open.spotify.com/track/58CqoBEbMp4gONUSefHfji,0.711,0.457,10,-10.75,0.326,0.222,0.333,0.282,0.318,172.98
84,End Credits,5xhHy5mpWsCkjo00LYRLSm,240389,https://open.spotify.com/track/5xhHy5mpWsCkjo00LYRLSm,0.434,0.505,0,-5.104,0.143,0.589,0.0,0.0859,0.313,171.346
